ID	LAMBX	LAMBY	ALT	BETA
757	211490	92888	253.1	0.285309
758	208474	93094	186.6	0.224408
759	205459	93301	160.0	0.226894
760	202442	93506	167.2	0.166541
761	214718	95733	254.0	0.480994
762	211699	95941	219.6	0.40173
763	208682	96147	202.9	0.263853
764	205666	96352	191.5	0.15154
765	202649	96558	202.3	0.0937873
766	214926	98785	274.5	0.365658
767	211908	98991	229.7	0.381769
768	208890	99198	207.2	0.126276
769	205876	99404	248.1	0.108519
770	202860	99610	260.7	0.119877
771	213244	74372	407.0	0.28072
772	210230	74578	375.3	0.179
773	207216	74784	360.8	0.0767863
774	204200	74991	352.0	0.0141006
775	201185	75195	366.8	0.170472
776	213454	77423	437.8	0.0881303
777	210441	77630	423.4	0.185264
778	207426	77836	395.2	0.146159
779	204409	78042	337.6	0.126868
780	201396	78248	359.4	0.0343542
781	213663	80475	364.3	0.0468746
782	210651	80681	400.0	0.0103632
783	207635	80888	378.4	0.00026064
784	204617	81093	300.6	0.0080229
785	201604	81300	364.6	0.0463834
786	213875	83527	328.9	0.0490572
787	210861	83734	374.6	0.0570657
788	207845	83938	332.4	0.0720589
789	204829	84146	265.5	0.204248
790	201812	84351	299.4	0.26562
791	214086	86578	291.2	0.264325
792	211069	86785	268.8	0.272822
793	208054	86992	232.1	0.234399
794	205038	87197	230.7	0.412094
795	202019	87403	231.3	0.278536
796	229376	88594	469.8	0.131133
797	226360	88801	504.4	0.00182921
798	223345	89010	518.8	0
799	220328	89216	399.9	0.0877719
800	217311	89423	298.6	0.107091
801	229587	91645	466.1	0.0323811
802	226572	91854	468.5	0
803	223556	92059	445.2	0.0224432
804	220539	92268	357.2	0.283551
805	217523	92475	286.7	0.24148
806	229797	94697	433.2	0.0744714
807	226782	94904	415.6	0.107931
808	223765	95113	342.3	0.258867
809	220749	95319	292.8	0.253241
810	217734	95526	281.2	0.175866
