ID	LAMBX	LAMBY	ALT	BETA
694	177898	89041	165.4	0.220568
695	174881	89244	205.3	0.2487
696	171864	89449	222.8	0.212686
697	182887	73374	398.2	0.16086
698	179874	73577	446.6	0.165514
699	176858	73781	425.6	0.165514
700	173841	73986	260.2	0.222761
701	170825	74187	261.7	0.160385
702	199217	90660	151.9	0.203976
703	196202	90866	151.6	0.194787
704	193182	91071	166.4	0.222197
705	190165	91276	193.7	0.269143
706	187150	91481	173.3	0.127752
707	199426	93712	150.5	0.184954
708	196411	93916	197.2	0.189486
709	193391	94122	205.3	0.115801
710	190374	94328	252.1	0.238003
711	187359	94532	247.4	0.244215
712	199631	96764	183.8	0.139826
713	196616	96970	162.5	0.19436
714	193600	97174	217.3	0.167248
715	190583	97380	246.8	0.22432
716	187566	97585	258.2	0.309972
717	199842	99816	254.3	0.162967
718	196825	100021	236.7	0.227238
719	193809	100227	203.0	0.223026
720	190791	100431	188.5	0.22501
721	187772	100636	184.3	0.309184
722	198171	75403	363.3	0.154806
723	195159	75607	400.6	0.201845
724	192143	75812	366.2	0.157646
725	189125	76016	358.3	0.103508
726	186112	76222	375.4	0.148567
727	198382	78453	417.7	0.127455
728	195366	78658	400.1	0.163695
729	192351	78863	380.5	0.17001
730	189335	79069	334.3	0.204353
731	186320	79273	336.7	0.132698
732	198588	81505	367.8	0.161227
733	195572	81710	349.1	0.155308
734	192560	81915	347.6	0.150434
735	189544	82120	344.1	0.184983
736	186529	82325	326.4	0.155756
737	198797	84556	287.2	0.0877991
738	195783	84763	276.9	0.095614
739	192768	84967	288.4	0.144196
740	189754	85171	316.5	0.146787
741	186740	85377	314.7	0.150635
742	199007	87609	212.1	0.0905992
743	195992	87813	245.9	0.129372
744	192974	88020	245.5	0.171839
745	189959	88224	243.4	0.229314
746	186945	88429	245.6	0.266555
747	194944	72553	397.2	0.124685
748	191929	72760	364.3	0.132811
749	188914	72965	360.3	0.137346
750	185900	73167	406.6	0.152553
751	214296	89630	269.8	0.174522
752	211281	89836	242.2	0.190325
753	208263	90043	189.0	0.179563
754	205247	90248	192.2	0.125205
755	202231	90455	177.1	0.163196
756	214507	92682	251.2	0.253784
757	211490	92888	253.1	0.205755
