ID	X	Y	ALT	BETA
23530	221500.000000	56500.000000	402.2	0.425557
23531	221500.000000	55500.000000	388.9	0.388347
23532	221500.000000	54500.000000	402.2	0.332949
23533	221500.000000	53500.000000	400.7	0.209780
23534	221500.000000	52500.000000	394.4	0.089624
23535	221500.000000	51500.000000	413.2	0.022948
23536	221500.000000	50500.000000	417.3	0.001960
23537	221500.000000	49500.000000	417.0	0.038959
23538	221500.000000	48500.000000	402.1	0.104302
23539	221500.000000	47500.000000	397.5	0.180794
23540	221500.000000	46500.000000	352.8	0.317120
23541	221500.000000	45500.000000	358.5	0.416130
23542	221500.000000	44500.000000	344.7	0.482564
23543	221500.000000	43500.000000	330.9	0.535183
23544	221500.000000	42500.000000	326.7	0.463961
23545	221500.000000	41500.000000	335.2	0.343362
23546	221500.000000	40500.000000	335.4	0.217447
23547	221500.000000	39500.000000	342.0	0.086888
23548	221500.000000	38500.000000	334.3	0.044164
23549	221500.000000	37500.000000	292.8	0.076660
23550	221500.000000	36500.000000	261.9	0.161400
23551	221500.000000	35500.000000	230.0	0.246041
23552	222500.000000	217500.000000	34.6	0.325783
23553	222500.000000	216500.000000	34.9	0.432536
23554	222500.000000	215500.000000	38.5	0.550373
23555	222500.000000	214500.000000	40.1	0.724761
23556	222500.000000	213500.000000	39.1	0.824909
23557	222500.000000	212500.000000	41.2	0.806570
23558	222500.000000	211500.000000	45.5	0.744937
23559	222500.000000	210500.000000	46.4	0.614822
23560	222500.000000	209500.000000	44.4	0.506014
23561	222500.000000	208500.000000	50.1	0.434238
23562	222500.000000	207500.000000	58.6	0.424819
23563	222500.000000	206500.000000	59.8	0.423061
23564	222500.000000	205500.000000	59.9	0.446418
23565	222500.000000	204500.000000	63.8	0.513652
23566	222500.000000	203500.000000	62.1	0.539198
23567	222500.000000	202500.000000	61.3	0.531687
23568	222500.000000	201500.000000	60.9	0.489561
23569	222500.000000	200500.000000	63.0	0.444623
23570	222500.000000	199500.000000	65.3	0.353775
23571	222500.000000	198500.000000	73.4	0.331716
23572	222500.000000	197500.000000	66.6	0.382297
23573	222500.000000	196500.000000	69.9	0.420396
23574	222500.000000	195500.000000	73.5	0.451699
23575	222500.000000	194500.000000	69.9	0.491709
23576	222500.000000	193500.000000	70.0	0.476501
23577	222500.000000	192500.000000	68.8	0.464228
23578	222500.000000	191500.000000	66.6	0.503040
23579	222500.000000	190500.000000	67.3	0.467082
23580	222500.000000	189500.000000	53.9	0.495346
23581	222500.000000	188500.000000	51.2	0.528008
23582	222500.000000	187500.000000	51.4	0.549614
23583	222500.000000	186500.000000	49.0	0.563202
23584	222500.000000	185500.000000	47.1	0.506647
23585	222500.000000	184500.000000	46.3	0.444423
23586	222500.000000	183500.000000	42.3	0.431406
23587	222500.000000	182500.000000	45.5	0.450419
23588	222500.000000	181500.000000	43.9	0.536449
23589	222500.000000	180500.000000	36.8	0.582753
23590	222500.000000	179500.000000	34.3	0.595981
23591	222500.000000	178500.000000	35.1	0.605665
23592	222500.000000	177500.000000	43.0	0.579413
23593	222500.000000	176500.000000	52.4	0.543834
23594	222500.000000	175500.000000	57.1	0.530229
23595	222500.000000	174500.000000	53.7	0.525251
23596	222500.000000	173500.000000	39.9	0.519597
23597	222500.000000	172500.000000	43.9	0.526881
23598	222500.000000	171500.000000	51.8	0.492539
23599	222500.000000	170500.000000	60.9	0.491983
23600	222500.000000	169500.000000	65.4	0.482398
23601	222500.000000	168500.000000	69.7	0.496486
23602	222500.000000	167500.000000	80.2	0.516107
23603	222500.000000	166500.000000	91.5	0.498700
23604	222500.000000	165500.000000	87.7	0.463538
23605	222500.000000	164500.000000	101.9	0.407344
23606	222500.000000	163500.000000	85.6	0.352979
23607	222500.000000	162500.000000	91.8	0.297502
23608	222500.000000	161500.000000	96.0	0.268097
23609	222500.000000	160500.000000	88.3	0.291914
23610	222500.000000	159500.000000	92.3	0.283222
23611	222500.000000	158500.000000	116.6	0.315946
23612	222500.000000	157500.000000	113.7	0.342323
23613	222500.000000	156500.000000	107.8	0.376387
23614	222500.000000	155500.000000	114.4	0.527037
23615	222500.000000	154500.000000	122.9	0.520469
23616	222500.000000	153500.000000	124.5	0.505220
23617	222500.000000	152500.000000	131.6	0.470599
23618	222500.000000	151500.000000	138.6	0.321927
23619	222500.000000	150500.000000	144.7	0.304430
23620	222500.000000	149500.000000	147.6	0.294246
23621	222500.000000	148500.000000	156.0	0.319741
23622	222500.000000	147500.000000	165.8	0.355572
23623	222500.000000	146500.000000	172.1	0.385378
23624	222500.000000	145500.000000	167.8	0.474353
23625	222500.000000	144500.000000	161.8	0.476837
23626	222500.000000	143500.000000	166.9	0.484815
23627	222500.000000	142500.000000	169.1	0.591078
23628	222500.000000	141500.000000	186.4	0.591757
23629	222500.000000	140500.000000	190.2	0.569441
23630	222500.000000	139500.000000	153.9	0.518557
23631	222500.000000	138500.000000	74.1	0.359842
23632	222500.000000	137500.000000	117.0	0.282108
23633	222500.000000	136500.000000	205.8	0.264482
23634	222500.000000	135500.000000	201.2	0.346026
23635	222500.000000	134500.000000	221.8	0.421749
23636	222500.000000	133500.000000	236.8	0.409681
23637	222500.000000	132500.000000	226.7	0.430866
23638	222500.000000	131500.000000	237.3	0.404681
23639	222500.000000	130500.000000	239.1	0.339907
23640	222500.000000	129500.000000	259.3	0.363929
23641	222500.000000	128500.000000	272.5	0.351152
23642	222500.000000	127500.000000	255.2	0.333987
23643	222500.000000	126500.000000	255.4	0.335844
23644	222500.000000	125500.000000	246.5	0.356292
23645	222500.000000	124500.000000	245.6	0.367722
23646	222500.000000	123500.000000	262.4	0.369825
23647	222500.000000	122500.000000	267.9	0.428740
23648	222500.000000	121500.000000	294.1	0.403462
23649	222500.000000	120500.000000	290.9	0.420669
23650	222500.000000	119500.000000	267.9	0.449689
23651	222500.000000	118500.000000	289.9	0.419223
23652	222500.000000	117500.000000	285.5	0.442756
23653	222500.000000	116500.000000	275.0	0.442022
23654	222500.000000	115500.000000	309.9	0.436790
23655	222500.000000	114500.000000	276.8	0.457597
23656	222500.000000	113500.000000	234.6	0.472617
23657	222500.000000	112500.000000	198.6	0.497116
23658	222500.000000	111500.000000	218.7	0.493622
23659	222500.000000	110500.000000	208.0	0.411004
23660	222500.000000	109500.000000	208.4	0.316719
23661	222500.000000	108500.000000	206.9	0.178920
23662	222500.000000	107500.000000	196.0	0.095674
23663	222500.000000	106500.000000	175.5	0.158745
23664	222500.000000	105500.000000	184.3	0.276869
23665	222500.000000	104500.000000	207.6	0.388668
23666	222500.000000	103500.000000	203.1	0.414362
23667	222500.000000	102500.000000	216.6	0.407598
23668	222500.000000	101500.000000	243.0	0.337066
23669	222500.000000	100500.000000	275.4	0.255233
23670	222500.000000	99500.000000	302.0	0.293234
23671	222500.000000	98500.000000	324.2	0.334038
23672	222500.000000	97500.000000	274.4	0.350022
23673	222500.000000	96500.000000	263.5	0.407497
23674	222500.000000	95500.000000	265.9	0.395358
23675	222500.000000	94500.000000	278.0	0.333037
23676	222500.000000	93500.000000	308.7	0.281063
23677	222500.000000	92500.000000	306.2	0.195671
23678	222500.000000	91500.000000	333.6	0.090944
23679	222500.000000	90500.000000	343.8	0.044121
23680	222500.000000	89500.000000	372.3	0.027522
23681	222500.000000	88500.000000	401.9	0.000000
23682	222500.000000	87500.000000	469.5	0.000000
23683	222500.000000	86500.000000	470.2	0.000000
23684	222500.000000	85500.000000	443.0	0.000000
23685	222500.000000	84500.000000	413.0	0.000000
23686	222500.000000	83500.000000	402.8	0.015121
23687	222500.000000	82500.000000	478.4	0.129920
23688	222500.000000	81500.000000	539.0	0.276485
23689	222500.000000	80500.000000	500.2	0.373427
23690	222500.000000	79500.000000	457.7	0.451282
23691	222500.000000	78500.000000	408.6	0.441076
23692	222500.000000	77500.000000	423.3	0.385422
23693	222500.000000	76500.000000	435.7	0.377972
23694	222500.000000	75500.000000	470.1	0.365594
23695	222500.000000	74500.000000	512.2	0.365070
23696	222500.000000	73500.000000	545.0	0.310475
23697	222500.000000	72500.000000	500.0	0.215731
23698	222500.000000	71500.000000	447.9	0.131290
23699	222500.000000	70500.000000	482.8	0.117572
23700	222500.000000	69500.000000	533.4	0.283370
23701	222500.000000	68500.000000	478.1	0.426095
23702	222500.000000	67500.000000	471.9	0.534863
23703	222500.000000	66500.000000	472.8	0.579233
23704	222500.000000	65500.000000	482.4	0.502234
23705	222500.000000	64500.000000	456.5	0.408544
23706	222500.000000	63500.000000	449.7	0.351423
23707	222500.000000	62500.000000	456.8	0.352011
23708	222500.000000	61500.000000	456.3	0.396204
