ID	LAMBX	LAMBY	ALT	BETA
768	208890	99198	207.2	0.000299016
769	205876	99404	248.1	0.0349589
770	202860	99610	260.7	0
771	213244	74372	407.0	0.123101
772	210230	74578	375.3	0.0550081
773	207216	74784	360.8	0.0341946
774	204200	74991	352.0	0
775	201185	75195	366.8	0.0637872
776	213454	77423	437.8	0.0211127
777	210441	77630	423.4	0.0745154
778	207426	77836	395.2	0.0500403
779	204409	78042	337.6	0.0509717
780	201396	78248	359.4	0
781	213663	80475	364.3	0.0214516
782	210651	80681	400.0	0
783	207635	80888	378.4	0
784	204617	81093	300.6	0
785	201604	81300	364.6	0
786	213875	83527	328.9	0.0272482
787	210861	83734	374.6	0.000164571
788	207845	83938	332.4	0.00272148
789	204829	84146	265.5	0.109051
790	201812	84351	299.4	0.0906242
791	214086	86578	291.2	0.109834
792	211069	86785	268.8	0.136591
793	208054	86992	232.1	0.0905364
794	205038	87197	230.7	0.110394
795	202019	87403	231.3	0.0486637
796	229376	88594	469.8	0.0735474
797	226360	88801	504.4	0
798	223345	89010	518.8	0
799	220328	89216	399.9	0.0518275
800	217311	89423	298.6	0.0305407
801	229587	91645	466.1	0.00526719
802	226572	91854	468.5	0
803	223556	92059	445.2	0.00193783
804	220539	92268	357.2	0.150963
805	217523	92475	286.7	0.0922343
806	229797	94697	433.2	0.0125753
